name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
<pad>,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0010,0.18750568,1.5136478,-1.2327532,-0.43008348,0.3607871,-1.1710682,0.44490668,0.84347284,-0.11180251,-1.0264536,-0.30732194,0.4935437,-0.3956454,0.86499155,-0.08243373,-1.9885702,0.3402115,-1.6426508,1.1412383,-0.69643825,-0.3133304,0.81612676,0.20530424,0.4277889,-0.43948758,1.7300553,0.54151595,-1.1606734,-1.0256811,0.8894322,0.6616631,1.5968688,0.58226466,-1.5067731,1.4129227,-1.4456832,-0.42894664,1.7612864,-0.27694884,1.0258297,-0.8087498,-1.0770386,-0.08542788,0.21189538,0.37559405,-0.6188113,1.9399315,-0.5532491,0.082894,-0.8498926,0.83317846,0.8525894,-1.8439715,0.02338286,0.31796396,0.69808763,0.9366599,-0.7294516,-0.6259303,-0.45062917,1.2997785,0.27769706,0.8077017,1.0575104,-0.7037104,1.5262443,0.057173304,-0.8879894,-0.014408306,-0.21470118,-0.22550991,0.22853062,-0.23627037,1.2959297,0.12652683,1.0729555,-0.61516845,-0.82047385,-0.15667276,0.811278,-1.0979065,-0.14983754,-0.71623063,0.76144063,0.47724634,-0.96379566,-0.38669866,0.26322615,-0.6680176,0.3591651,0.2813833,0.79391587,-0.053438988,1.0746025,1.5568346,-1.2594284,2.3557382,-2.0318048,0.2754849,-1.2088808,0.11651628,-0.8609217,0.16260688,1.1054925,-0.02803394,-0.8860298,0.91141385,-0.17059395,-1.1442548,-0.21167427,-0.3228719,0.6642583,2.607494,-0.049401425,-0.34259903,-0.6357914,0.8883548,2.0238948,-1.1367826,-0.13962989,-0.05766041,-0.47440252,-2.0421417,0.5896214,-1.3535669,-1.6030827,-0.30192715,-1.3592188
0011,-1.8580253,-1.8061874,-0.4730817,2.1252058,-0.33196208,0.19983931,-0.7801644,-0.84312785,1.260688,0.91837174,0.40875623,-0.46466383,-0.38018695,1.2223119,-0.60230863,1.4029863,-2.1843853,-1.8059527,1.5019374,-0.23539418,0.7017102,-0.7381253,0.08697627,-1.3127689,-0.947673,0.9619172,-0.7957792,0.24803159,-1.0413619,-0.5545043,-0.18887706,-0.7610461,0.8359709,1.6976181,0.7860453,-0.010414566,-0.91583526,1.3647063,-0.69201773,1.4934232,-0.8078128,0.1039424,-0.39912012,0.6323221,0.4251287,0.636901,0.47744453,-1.6420021,1.3851944,-0.1129876,-3.5405424,-1.2233475,-0.60318166,-1.2851388,-1.126709,-0.1724016,-1.0886891,1.4060272,0.5382658,-2.197545,0.4368346,-0.7751852,-0.73873746,-1.0613016,0.87064487,-1.136628,-1.2533429,0.89300495,0.20475817,-1.8843461,1.8803022,1.4231291,0.12114346,1.4762605,0.4488737,-0.42404848,-0.077369705,1.0459696,-0.19948779,-2.0061355,0.33550918,-0.8964575,-0.08168956,-1.2331715,-0.29355302,1.3488346,-2.9656026,0.30074286,0.06000605,-0.057405956,-1.6140589,0.61623377,0.09297674,0.6061137,-0.5984544,1.6577066,0.6978857,0.80119574,1.5118539,0.34565142,-0.16044664,0.34570944,-0.09491339,-0.03679339,0.70111287,0.19331792,-0.6813032,0.3445939,-0.35476336,-1.1676135,-0.11578056,-0.4513068,-1.0095068,-0.15361242,-1.3619463,0.78050053,0.6549273,-0.31212494,-0.4780216,-0.33617014,-0.3959626,0.14281341,-0.9405825,0.17618017,1.7617518,-1.2372204,0.18579075,0.59807587
0012,-0.94912106,-0.28374338,-0.4170585,-0.155121,-1.292979,0.67662436,-1.0226451,0.32530075,-0.4884147,0.8103129,2.1979246,0.17130524,0.2522539,0.74233097,-1.2255253,-0.26088384,0.9106628,-0.9945325,-0.09029991,0.10527454,-0.90013117,-0.2760704,-0.0049925297,-0.7866866,1.4004358,0.307543,-2.2735753,-0.8285948,0.5056814,0.99467504,-0.13547705,0.29726073,0.33625188,-0.5772721,0.08653493,0.20436774,1.1182203,0.44104615,-1.2487293,-1.3675816,0.024747275,0.59745926,-0.7323479,0.14946009,0.3553096,-0.6392468,-0.8644164,-0.4502412,-1.923229,0.5342495,-1.4047339,0.22898637,-1.6481546,1.097731,0.043810286,1.6824971,-1.2419868,0.18239324,-0.4365064,-0.041544903,-0.33091354,-0.0049547716,-0.66383374,0.113061205,0.43185717,-0.42475173,1.3623315,-0.3377645,-0.69361246,1.3401624,0.9255523,0.9909874,-0.0070064096,-0.04547337,-0.46870095,-0.77641696,0.036156245,0.3349725,-0.3880386,-2.569746,-1.2658601,-0.36736202,0.37840426,-0.7887586,0.74029875,1.4007192,-0.17822404,-0.56397367,0.7950089,-0.95421636,0.17741972,0.597925,0.5134722,-0.010819195,-0.93162346,0.88316905,-0.918913,0.41955945,-1.8994291,-2.429528,-1.1913412,0.7706179,-0.24291176,-0.43544418,-1.6587764,0.6009225,0.7661001,-0.28393516,0.62887734,-0.07422266,0.3404561,0.965557,-0.7420972,-1.086426,-0.113300815,0.19370382,-1.6481378,-0.23609112,0.7208298,0.13744316,-1.246739,-1.0600629,0.3738457,0.32893002,-0.26651868,-2.109815,0.17321452,-0.056495443
0013,-1.5036268,-0.7383978,2.3915434,-0.7484717,2.045544,-0.011608611,-0.34208822,0.2610464,-0.36198545,-0.24751687,-0.08033632,-0.87415045,-0.36689192,-0.9541411,-1.0378488,-0.2906728,0.32595202,-0.8992274,1.226386,0.6408364,-0.05440322,-0.1950985,-1.0565937,-1.6993,1.4974781,-0.61374503,0.677527,1.1680541,-0.33926487,-0.06563251,-0.41974422,0.59364265,1.8383995,-0.8866046,-0.790602,-0.34933287,-2.6917815,-0.08446371,-1.3556674,-0.26930717,-0.52929705,-0.4923462,-0.90587944,0.9660746,-0.88650435,1.0851362,0.71294063,-1.6379052,1.725551,0.6003918,-1.2121242,0.16331829,-0.26874575,0.049937297,0.103177264,-1.580995,-0.9527146,0.9884568,0.8372931,0.5557241,-0.6275341,-1.0779353,0.9282282,-0.8352127,0.18343084,-0.87622684,-0.9728641,1.321472,-0.7177154,0.7493051,-0.10901495,0.99705505,1.7918432,1.0345156,-0.08114904,-1.0702196,0.61568904,0.34549832,0.17865774,-0.13597995,-0.80675983,-0.4965314,0.039224442,1.1808944,-0.7713661,1.0484567,-1.086409,-0.9267346,-0.23035882,0.6577388,-0.38953602,-0.8774558,0.18023175,-0.28492105,0.33562517,-1.3008064,1.0637176,0.16671264,0.5569469,-1.6179107,-0.5735444,-0.2118739,1.2401868,0.6253499,-0.90613955,0.90600425,-0.48682976,0.0029977954,-0.21444611,-0.60340476,1.0321164,1.2810285,-0.3897977,0.94592214,-0.32550067,-1.1194626,-0.43593374,1.715141,0.5373971,-0.027686195,-0.8584571,-0.5209877,-0.3831944,0.2909711,-0.14659365,0.15516637,-0.9455309,-1.3051983
0014,-0.54769164,-1.0496627,-0.17162466,-0.83571976,0.6030042,0.44251984,-1.8411001,0.3041846,-1.6266785,-1.7479151,0.5866701,-0.86529016,-0.67906564,0.36992985,-0.70266646,0.73799586,1.0919838,0.41887033,0.28829506,-0.17084189,-0.8652952,-0.005027375,-1.34151,-0.4865343,0.3638552,0.98511016,1.0037155,-0.3373822,-1.3912123,-1.452082,1.4666624,1.0051187,0.063553125,-1.4308218,-0.085954055,0.8538872,0.8732988,1.5775856,0.28963855,2.0787148,-1.5193077,-0.5699185,0.32502127,-0.36395872,-1.6697634,0.76600146,-1.1822761,2.2833917,1.3729756,-0.01453041,-0.14129215,0.17175452,-1.3083768,-0.0047328747,1.959756,0.04822315,-0.4614347,1.5065197,0.6513256,-0.5464033,-1.6222175,1.5746284,-0.3913143,-0.899043,0.36267242,-0.85174197,-0.252352,1.4652703,0.5421493,-0.44606617,0.24216744,0.77053463,0.61358315,2.5206234,-0.6083282,-1.0756226,1.0621516,0.45009714,1.2699655,0.06855881,-1.6264392,1.084251,-0.21996926,0.32502374,-1.0433009,2.0376186,0.7397297,-0.18439835,-0.3384474,1.5037344,-0.31348535,-0.7734178,-0.0876628,-0.7223128,-0.6908518,-0.40546772,-0.5005873,-0.6915999,0.93757355,0.8931657,0.30748528,-0.5073502,0.54935575,1.5235693,-1.0905149,0.09057715,1.0234888,0.22870344,-2.2092552,-0.5679012,0.78153753,-1.0630546,0.39275506,1.2940497,-0.59909075,-1.5960248,-0.7514248,-1.1280375,1.1204268,0.34063053,1.0993811,0.7333832,-2.185569,-0.68271923,1.2251048,0.15119018,-0.84014463,-0.8172437
0015,0.30334273,-1.5346056,0.59692883,-0.330433,0.15339576,-1.2752061,-1.6507385,0.73755443,-0.14537843,-0.12729299,-0.72954696,-0.8287818,-1.034936,0.27725485,-0.19706768,0.1811109,1.689229,0.8138408,-1.0685201,2.0253823,0.3589688,-1.6056738,0.9929916,0.86583316,1.008919,-0.91673595,-0.61081403,1.1999992,0.95889735,1.1180474,-0.31840414,0.8458893,-1.0655996,1.0922334,-0.06001953,0.5447272,0.50747925,-0.13718408,-0.15799303,-0.4186447,-0.0859302,0.9621871,0.42958236,0.036601726,1.0691224,-0.086963385,0.7967908,0.05425837,-0.4573108,-0.9660255,-0.46941078,0.15989643,1.2261184,0.9903473,0.3607728,1.2920241,-2.4497325,-0.20476064,0.955275,0.34786487,0.78216547,-0.29027796,1.3183328,-2.6646047,-2.3644037,1.4540894,1.4395952,0.07555546,0.09482012,0.5192634,0.16522299,0.15932149,-1.1674774,-0.9215696,-3.69753,-0.43622097,-1.1736196,-1.6629286,0.23435292,0.4075369,-1.390774,-0.37616825,0.53876066,-0.6966071,1.3853348,0.50581026,-0.51808876,0.49385342,-1.4347281,0.54885614,-0.9032825,-0.38780367,-0.21965368,0.4940562,2.1641748,-0.86019814,-0.25424302,1.0011455,-0.92775416,0.22877519,1.0069722,0.9487881,-1.8230679,0.96425396,-0.18656765,0.046700068,0.9960492,-0.6678971,0.8568653,-0.25483215,-0.39718696,-1.0040362,0.17007458,-0.0024194813,-0.42489082,0.25632593,0.9820746,-0.25738823,0.29530406,1.2147125,0.9110464,-0.19018874,1.4903039,-0.08025348,0.4553031,1.6312377,-0.037765246,-0.22057681
0017,-1.7364924,-0.032449923,0.22179088,0.15322144,-0.16467372,2.4029386,-1.5434271,1.3491222,0.53600615,0.5516234,1.070562,0.5333469,-1.6267579,-0.984297,0.15101819,-0.2652248,-1.0530928,-0.54074496,1.2746785,-0.4548585,0.20682934,-0.08636014,-0.94489104,1.0913647,0.032115646,0.429201,1.3337235,-0.0342923,-1.1022446,0.53264683,1.3236263,-0.5636385,0.69634426,1.0851829,-0.6942024,-0.14101836,-0.67089003,-0.104491316,-0.7220321,-1.373056,0.6763279,-0.9730522,1.1459646,-0.7426779,-0.7912604,-0.72040004,-1.4796051,-1.1180438,0.6298976,0.040586025,-0.6659464,-0.43987,1.3972973,-0.41254637,-0.8845979,0.04816332,-0.6195813,0.26518035,1.620415,1.599267,-0.5773773,1.1395131,-0.23627466,-0.23132075,1.4094665,2.6363976,0.22869417,-0.16136469,0.7956136,1.1602248,-0.20261611,0.39966708,-1.3821083,1.834911,1.3825117,0.9550611,-1.47789,0.5968043,-0.026483491,0.708069,1.5491345,0.6711669,0.16851641,0.22694404,-0.09559474,0.38368395,-0.48306906,0.31113276,0.7337397,0.4667605,1.3252343,-0.918793,-0.5771972,1.0931914,0.9788388,-0.3552142,-0.10580457,-1.8677863,0.62630296,-0.26822478,0.5730162,-1.5889063,-1.2473813,0.29130924,0.21942136,-0.67956454,1.0044999,0.015657904,1.3625844,-0.8406188,0.9314383,-0.6894522,0.13586392,0.30389044,-0.062292885,-0.51766974,-1.4542067,0.1603949,1.1510003,1.3253613,0.26871765,-0.75327945,-1.7452807,0.28018874,-0.9707904,-0.32309625,1.039392,-0.057606537
0018,1.0607733,0.25743508,-0.35314688,-1.1384153,-1.6674503,-1.4113008,-0.54035574,-2.4620154,0.53204244,0.16732018,1.0338731,-0.57865155,1.2296642,0.6058583,-0.082075834,1.9128201,0.537546,-1.5684462,0.95878565,1.079082,1.1693076,-0.41141045,0.39304912,-0.76708627,-0.5152151,0.47058493,-0.93682,-0.091932416,0.09090188,1.1804416,0.935785,-0.2487011,-1.397552,-0.63884413,0.2550037,-0.55705273,-1.5734493,-0.24058318,1.3296852,0.96142024,-0.43335664,1.2767448,-1.1693354,-1.2685055,0.3516127,0.09873338,0.6218851,0.4007605,0.71592075,0.0535625,0.63771373,-0.3009152,-0.26974583,-0.5325753,-1.1377705,0.47223023,0.735611,0.06999631,-0.90933746,2.59223,1.5118234,0.041753855,-0.2745825,-0.15044439,1.6356868,1.9859217,0.36307642,0.95049274,-0.10780616,0.41233903,-0.16398226,-0.32803988,-0.2718041,0.28493717,0.30961487,-1.4180237,0.07227828,0.83445215,-0.08681052,-0.41254628,-0.31264874,1.156892,0.38843346,-0.51867586,1.2607682,1.4987651,1.048921,-0.10135245,-1.6439098,1.1147522,0.7790335,-0.8698792,-1.1716814,-1.8001932,0.0055915476,0.4897281,0.35811043,-0.6179847,2.0238967,-0.807996,-0.029871624,2.1603713,-0.67401457,1.4471266,-0.5446925,1.554962,-0.6216282,1.7057492,-0.0067201396,-0.9532405,-1.5875155,-0.97844034,1.3977355,-1.4306456,1.4236255,0.53827804,-1.3381428,-0.13406646,0.4842214,1.0096751,0.07729464,0.7737627,-1.1187387,2.1537113,-0.1963007,0.55393857,-0.5006458,1.0121104
0021,0.26873317,0.24031195,-0.095016025,-0.3843598,0.1179208,-2.145028,-0.6753034,-0.8487391,1.2856016,0.61019206,-0.4859665,0.73410004,0.11020712,-0.54321015,1.5194448,1.2861094,-0.13106091,-0.7876376,0.42799696,-1.2225413,-0.111797005,-1.019086,0.06119899,-0.70438635,-0.4365653,1.2191505,0.30765375,2.0930803,1.0754707,0.25583595,0.544473,-0.35865855,0.24785951,0.5620076,0.11308567,-0.26975507,-0.76325464,0.33455202,-0.89557767,1.9964861,0.4515371,0.6368441,1.3875453,0.8451115,0.9222879,-0.4219775,0.97262156,-1.143966,1.4105287,0.97099906,-1.778261,1.4929343,0.11978994,-0.33289602,-0.9208654,0.09023061,-1.3257653,0.9597752,0.2530313,-0.017702077,-0.12050977,-1.5435146,-0.34821677,-0.48498604,-0.7369731,-0.34340876,0.44223356,1.8038402,-0.32427636,0.24956077,1.1424298,0.70843875,-0.6224519,0.84325486,0.34171414,1.9038825,1.4566051,-0.12764688,0.2628097,0.25162092,-0.67298925,-0.199973,-0.6395526,2.487455,-0.124589235,-0.14496799,0.16721252,0.59607214,0.3704641,-0.6707604,1.0522503,-0.19733296,1.575643,0.4591753,1.065269,0.3862069,0.91239756,0.0007275326,-1.7458395,-0.14833374,-0.4163639,-0.03954836,0.26360005,-0.35359687,0.17576146,-0.3047592,-0.6616072,0.3020627,0.08768443,-0.70844406,0.85852987,0.7815659,-1.2361048,-1.4380728,-1.0635965,-0.57788104,-0.048982576,0.40978745,0.33359128,-0.3932599,-0.63868,-1.3467004,-1.8389568,-0.2867866,0.46475914,-0.19779208,0.11826772,0.561669
